activity_id,start_date_local,start_date_utc,name,sport_type,trainer,commute,moving_time_sec,elapsed_time_sec,distance_m,distance_mi,total_elevation_gain_m,total_elevation_gain_ft,average_speed_mps,average_speed_mph,max_speed_mps,max_speed_mph,average_heartrate,max_heartrate,average_watts,weighted_average_watts,kilojoules,average_cadence,device_name,achievement_count,pr_count,suffer_score,calories,perceived_exertion,has_heartrate,has_run_segments
A0089,2026-04-15 2:10:34,2026-04-15T16:10:34Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,3355,3372,9667.7,6.0072284167,0,0,2.882,6.44686108,3.08,6.8897752,138.2,152,,,,88.9,Zwift Run,,,,,,,TRUE
A0090,2026-04-15 0:11:43,2026-04-15T14:11:43Z,Morning Swim,Swim,TRUE,FALSE,2902,2902,2194.6,1.3636607966,0,0,0.756,1.69112664,4.58,10.2451852,116.6,147,,,,,Apple Watch Ultra,,,,,,,
A0091,2026-04-14 14:06:49,2026-04-15T04:06:49Z,Night Walk,Walk,FALSE,FALSE,1674,1798,2080.4,1.2927002284,30.8,101.049872,1.243,2.78051642,1.867,4.17636698,85.1,100,,,,,Apple Watch Ultra,,,,,,,
A0092,2026-04-14 12:29:21,2026-04-15T02:29:21Z,Fitbod - Glute Mobility protocol,WeightTraining,TRUE,FALSE,1539,1539,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
A0093,2026-04-14 2:22:21,2026-04-14T16:22:21Z,Zwift - Pacer Group Ride with Miguel,VirtualRide,FALSE,FALSE,3305,3305,29124.8,18.0973061008,113,370.73492,8.812,19.71191528,13.36,29.8855184,113,127,115.8,117,382.8,98,Zwift,,,,,,,
A0094,2026-04-13 14:33:45,2026-04-14T04:33:45Z,Night Walk,Walk,FALSE,FALSE,1523,1580,1990.9,1.2370875239,27.2,89.238848,1.307,2.92368058,2.14,4.7870516,86,96,,,,,Apple Watch Ultra,,,,,,,
A0095,2026-04-13 11:49:27,2026-04-14T01:49:27Z,Fitbod - Sore in 6 mins - Chest,WeightTraining,TRUE,FALSE,618,618,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
A0096,2026-04-13 9:56:24,2026-04-13T23:56:24Z,Afternoon Walk,Walk,FALSE,FALSE,1207,1207,1423.5,0.8845216185,0,0,1.179,2.63735226,7.188,16.07912472,,,,,,,Apple Watch Ultra,,,,,,,
A0097,2026-04-13 3:50:08,2026-04-13T17:50:08Z,Morning Walk,Walk,FALSE,FALSE,798,798,1121.1,0.6966190281,44.4,145.669296,1.405,3.1429007,3.04,6.8002976,110.8,116,,,,,Apple Watch Ultra,,,,,,,
A0098,2026-04-12 15:04:42,2026-04-13T05:04:42Z,Night Walk,Walk,FALSE,FALSE,1559,1559,2088.6,1.2977954706,29.4,96.456696,1.34,2.9974996,2.16,4.8317904,91.8,104,,,,,Apple Watch Ultra,,,,,,,
A0099,2026-04-12 3:41:16,2026-04-12T17:41:16Z,Zwift - Tempus Fugit in Watopia,VirtualRide,FALSE,FALSE,7183,7183,64676.6,40.1881636186,99,324.80316,9.004,20.14140776,11.2,25.053728,126.7,138,122.1,123,877.2,98,Zwift,,,,,,,
A0100,2026-04-11 8:22:53,2026-04-11T22:22:53Z,Afternoon Walk,Walk,FALSE,FALSE,1413,1488,2074.3,1.2889098653,38.8,127.296592,1.468,3.28382792,2.307,5.16062058,98.9,108,,,,,Apple Watch Ultra,,,,,,,
A0101,2026-04-11 2:11:55,2026-04-11T16:11:55Z,Pool Swim,Swim,TRUE,FALSE,3764,4717,3634.7,2.2584971737,0,0,0.966,2.16088404,2.54,5.6818276,126.3,150,,,,,,,,,,,,
A0102,2026-04-10 11:22:16,2026-04-11T01:22:16Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,2487,2500,6246.9,3.8816424999,0,0,2.512,5.61919328,4.52,10.1109688,131.2,145,,,,82.9,Zwift Run,,,,,,,TRUE
