date,in_bed,asleep,snoring,rhr,hrv,body_weight_lb,other_notes,run_count,bike_count,swim_count,walk_count,strength_count,other_count,tri_session_count,total_session_count,run_miles,bike_miles,swim_miles,training_minutes,tri_training_minutes,total_elevation_ft,avg_hr_all,max_hr_all,avg_power_bike,weighted_power_bike,avg_cadence_bike,avg_cadence_run,avg_pace_run_min_per_mi,sauna_mins,notes
2026-03-13,,,,,,,,0,1,1,0,1,0,2,3,0,8.63,0.58,80.6,55.6,205,137,174,124.5,136,90.1,,,,
2026-03-12,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,23.3,0,91,84.5,97,,,,,,,
2026-03-11,,,,,,,,1,0,1,1,0,0,2,3,6.13,0,1.02,129.5,106.7,131,122.1,154,,,,167.8,9.96,,
2026-03-10,,,,,,,,1,1,0,3,0,0,2,5,2.02,11.25,0,107,51.1,520,110.1,138,137.1,142,97.4,176.6,9.66,,
2026-03-09,,,,,,,,0,0,0,1,2,0,0,3,0,0,0,115.4,0,94,89.2,109,,,,,,,
2026-03-08,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,24.3,0,92,90,96,,,,,,,
2026-03-07,,,,,,,,1,1,1,1,0,0,3,4,3.88,30.08,1.18,192.8,167.1,331,129.6,158,131.1,134,98.4,173.4,9.74,,
2026-03-06,,,,,,,,0,0,0,2,1,0,0,3,0,0,0,56.4,0,241,81.4,97,,,,,,,
2026-03-05,,,,,,,,1,1,1,1,0,0,3,4,1.77,14.33,1.34,140,113.5,680,121,146,157.7,162,99.5,167.8,9.96,,
2026-03-04,,,,,,,,1,0,0,1,0,0,1,2,5.66,0,0,84,57.3,91,119.1,155,,,,162.8,10.14,,
2026-03-03,,,,,,,,0,1,1,1,1,0,2,4,0,16.7,1.16,178,95.1,205,119.8,158,161.6,172,100.3,,,,
2026-03-02,,,,,,,,0,0,0,2,2,0,0,4,0,0,0,113.5,0,282,80.5,102,,,,,,,
2026-03-01,,,,,,,,1,0,0,1,0,0,1,2,13.66,0,0,148,120.3,343,130.5,154,,,,,8.81,,
2026-02-28,,,,,,,,0,1,1,1,0,0,2,3,0,55.16,1.04,236.8,209.2,589,127.1,144,118.6,119,97.9,,,,
